codice,comune,abitanti
1,Ala,8707
2,Albiano,1490
3,Aldeno,3170
235,Altavalle,1611
236,Altopiano della Vigolana,5124
237,Amblar-Don,543
5,Andalo,1129
6,Arco,17933
7,Avio,4117
9,Baselga di Pinè,5105
11,Bedollo,1483
13,Besenello,2718
15,Bieno,435
17,Bleggio Superiore,1546
18,Bocenago,387
21,Bondone,660
238,Borgo Chiese,2006
252,Borgo d'Anaunia,2478
239,Borgo Lares,718
22,Borgo Valsugana,6993
25,Brentonico,4026
26,Bresimo,257
29,Caderzone Terme,684
32,Calceranica al Lago,1364
33,Caldes,1108
34,Caldonazzo,3866
35,Calliano,1996
36,Campitello di Fassa,716
37,Campodenno,1501
38,Canal San Bovo,1481
39,Canazei,1898
40,Capriana,587
42,Carisolo,962
43,Carzano,523
45,Castel Condino,224
240,Castel Ivano,3309
48,Castello Tesino,1197
47,Castello-Molina di Fiemme,2328
49,Castelnuovo,1060
50,Cavalese,4133
51,Cavareno,1119
52,Cavedago,546
53,Cavedine,3020
54,Cavizzana,235
241,Cembra Lisignago,2306
58,Cimone,697
59,Cinte Tesino,353
60,Cis,311
61,Civezzano,4036
62,Cles,7008
228,Comano Terme,2935
64,Commezzadura,994
242,Contà,1392
68,Croviana,680
71,Dambel,428
74,Denno,1230
233,Dimaro Folgarida,2108
78,Drena,586
79,Dro,5138
81,Fai della Paganella,908
83,Fiavè,1069
85,Fierozzo,494
87,Folgaria,3168
89,Fornace,1319
90,Frassilongo,342
91,Garniga Terme,401
92,Giovo,2556
93,Giustino,742
95,Grigno,2137
97,Imer,1165
98,Isera,2768
102,Lavarone,1180
103,Lavis,9102
229,Ledro,5308
104,Levico Terme,8136
106,Livo,805
108,Lona-Lases,875
109,Luserna,263
243,Madruzzo,2905
110,Malè,2231
112,Massimeno,141
113,Mazzin,587
114,Mezzana,897
115,Mezzano,1608
116,Mezzocorona,5574
117,Mezzolombardo,7204
118,Moena,2650
120,Molveno,1116
123,Mori,9997
124,Nago-Torbole,2842
127,Nogaredo,2084
128,Nomi,1356
129,Novaledo,1106
253,Novella,3612
130,Ospedaletto,795
131,Ossana,840
133,Palù del Fersina,165
134,Panchià,837
136,Peio,1843
137,Pellizzano,790
138,Pelugo,400
139,Pergine Valsugana,21675
234,Pieve di Bono-Prezzo,1435
142,Pieve Tesino,645
143,Pinzolo,3055
144,Pomarolo,2461
244,Porte di Rendena,1793
230,Predaia,6721
147,Predazzo,4528
245,Primiero San Martino di Castrozza,5385
150,Rabbi,1343
153,Riva del Garda,17861
155,Romeno,1409
156,Roncegno Terme,2886
161,Rovereto,40239
157,Ronchi Valsugana,463
135,Ronzo-Chienis,1002
159,Ronzone,438
160,Roverè della Luna,1652
162,Ruffrè-Mendola,412
163,Rumo,809
164,Sagron Mis,181
165,Samone,559
250,San Giovanni di Fassa-Sèn Jan,3591
231,San Lorenzo Dorsino,1577
167,San Michele all'Adige,3911
168,Sant'Orsola Terme,1133
169,Sanzeno,912
170,Sarnonico,795
171,Scurelle,1410
172,Segonzano,1432
246,Sella Giudicarie,2914
173,Sfruz,377
176,Soraga di Fassa,689
177,Sover,807
179,Spiazzo,1254
180,Spormaggiore,1265
181,Sporminore,705
182,Stenico,1207
183,Storo,4583
184,Strembo,587
188,Telve,1930
189,Telve di Sopra,591
190,Tenna,1053
191,Tenno,2006
193,Terragnolo,710
251,Terre D'Adige,3063
195,Terzolas,650
196,Tesero,2966
199,Tione di Trento,3670
200,Ton,1322
202,Torcegno,686
203,Trambileno,1479
247,Tre Ville,1404
205,Trento,120641
232,Valdaone,1166
209,Valfloriana,466
210,Vallarsa,1368
248,Vallelaghi,5142
213,Vermiglio,1824
216,Vignola-Falesina,175
222,Villa Lagarina,3787
249,Ville d'Anaunia,4824
254,Ville di Fiemme,2594
224,Volano,3031
226,Ziano di Fiemme,1778
