COMUNE,CASI POSITIVI,LATITUDINE,LONGITUDINE
NON DEFINITO,23,,
ALA,4,45.757.753,11.000.256
ALBIANO,1,46.145.963,11.194.537
ALDENO,6,45.979.074,11.094.556
ALTOPIANO DELLA VIGOLANA,4,45.985.049,11.166.120
ANDALO,4,46.166.111,11.005.167
ARCO,115,45.917.826,10.886.866
AVIO,2,45.734.870,10.938.296
BASELGA DI PINE',3,46.132.492,11.246.988
BEDOLLO,1,46.170.069,11.301.735
BESENELLO,1,45.944.040,11.108.169
BLEGGIO SUPERIORE,2,46.025.236,10.837.429
BOCENAGO,3,46.120.000,10.760.019
BONDONE,3,45.805.759,10.551.278
BORGO CHIESE,38,45.881.995,10.576.198
BORGO LARES,2,46.032.888,10.735.265
BORGO VALSUGANA,4,46.052.352,11.455.481
BRENTONICO,8,45.820.000,10.956.278
CADERZONE TERME,8,46.130.839,10.759.735
CALCERANICA AL LAGO,1,46.005.648,11.244.870
CALLIANO,3,45.934.246,11.094.321
CAMPITELLO DI FASSA,15,46.477.370,11.743.148
CAMPODENNO,2,46.258.926,11.034.222
CANAL SAN BOVO,2,46.156.036,11.733.516
CANAZEI,42,46.476.735,11.772.458
CARISOLO,2,46.169.870,10.760.019
CASTEL CONDINO,2,45.916.149,10.602.593
CASTELLO-MOLINA DI FIEMME,11,46.281.883,11.435.125
CAVALESE,18,46.290.178,11.460.532
CAVARENO,1,46.409.389,11.139.241
CAVEDAGO,7,46.186.278,11.032.500
CAVEDINE,3,45.996.278,10.974.704
CEMBRA LISIGNAGO,5,46.188.386,11.171.272
CIMONE,1,45.980.333,11.070.648
CIS,3,46.399.775,11.004.454
CIVEZZANO,1,46.091.415,11.184.616
CLES,4,46.366.111,11.034.074
COMANO TERME,4,46.055.353,10.724.127
COMMEZZADURA,7,46.322.617,10.840.665
CROVIANA,2,46.346.278,10.904.537
DIMARO FOLGARIDA,1,46.300.900,10.858.267
DRENA,1,45.970.044,10.943.848
DRO,31,45.962.369,10.912.375
FAI DELLA PAGANELLA,1,46.175.335,11.068.540
FOLGARIA,3,45.916.278,11.171.722
FUORI PAT,2,,
GIUSTINO,3,46.148.985,10.768.740
GRIGNO,2,46.016.426,11.638.121
ISERA,1,45.885.843,10.664.544
LAVIS,9,46.140.481,11.113.907
LEDRO,69,45.885.843,10.664.544
LEVICO TERME,11,46.011.112,11.302.613
LIVO,1,46.405.740,11.019.091
LONA - LASES,1,46.145.167,11.220.630
MADRUZZO,3,46.037.964,10.939.745
MALE',3,46.352.500,10.913.907
MASSIMENO,1,46.142.221,10.773.431
MAZZIN,5,46.458.466,11.701.079
MEZZANA,4,46.317.667,10.801.278
MEZZOCORONA,8,46.214.389,11.119.870
MEZZOLOMBARDO,11,46.210.019,11.097.815
MOENA,5,46.143.148,10.964.852
MOLVENO,1,46.143.148,10.964.852
MORI,3,45.852.814,10.976.181
NAGO-TORBOLE,2,45.873.926,10.874.556
NOGAREDO,3,45.913.698,11.024.391
NOMI,2,45.929.537,11.072.981
NOVALEDO,1,46.022.981,11.366.889
OSPEDALETTO,1,46.044.537,11.553.778
OSSANA,1,46.307.519,10.738.778
PEIO,2,46.362.791,10.673.404
PELLIZZANO,2,46.310.963,10.760.944
PERGINE VALSUGANA,73,46.061.699,11.237.123
PIEVE DI BONO-PREZZO,20,45.934.479,10.630.038
PINZOLO,20,46.160.026,10.765.421
PORTE DI RENDENA,3,46.320.832,11.063.934
PREDAIA,6,46.320.832,11.063.934
PREDAZZO,12,46.309.870,11.600.796
PRIMIERO SAN MARTINO DI CASTROZZA,2,46.176.660,11.828.590
RIVA DEL GARDA,16,45.888.062,10.844.509
RONCEGNO TERME,2,46.050.865,11.409.699
ROVERETO,25,45.890.648,11.039.870
RUMO,1,46.441.892,11.018.624
SAN GIOVANNI DI FASSA-SEN JAN,22,46.427.289,11.651.644
SAN LORENZO DORSINO,2,46.076.031,10.901.866
SANT'ORSOLA TERME,1,46.109.870,11.303.444
SANZENO,3,46.367.833,11.077.667
SEGONZANO,3,46.187.649,11.257.387
SELLA GIUDICARIE,11,46.013.533,10.573.872
SFRUZ,2,46.340.648,11.124.852
SORAGA DI FASSA,4,46.395.648,11.667.370
SPIAZZO,5,46.103.140,10.736.538
STENICO,3,46.051.154,10.854.534
STORO,18,45.850.944,10.577.370
STREMBO,1,46.121.259,10.752.056
TELVE,2,46.071.489,11.481.266
TELVE DI SOPRA,1,46.072.370,11.472.815
TENNO,2,45.920.321,10.832.539
TERRAGNOLO,2,45.878.809,11.154.627
TERRE D'ADIGE,2,46.157.546,11.031.607
TERZOLAS,3,46.362.037,10.927.056
TESERO,7,46.291.426,11.513.148
TIONE DI TRENTO,12,46.034.084,10.719.835
TON,2,46.265.019,11.086.679
TORCEGNO,2,46.075.335,11.450.957
TRAMBILENO,1,45.869.868,11.074.554
TRE VILLE,1,46.054.826,10.778.027
TRENTO,168,46.070.253,11.121.639
VALDAONE,5,45.946.848,10.616.976
VALFLORIANA,1,46.250.630,11.344.241
VERMIGLIO,23,46.298.463,10.692.773
VIGNOLA FALESINA,1,46.046.240,11.276.569
VILLE D'ANAUNIA,5,46.272.855,10.905.685
VILLE DI FIEMME,10,46.291.193,11.436.403
